player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,stat_type,team_abbr,team_name,team_id,team_nick,team_conf,team_division,team_color,team_color2,team_color3,team_color4,team_logo_wikipedia,team_logo_espn,team_wordmark,team_conference_logo,team_league_logo,team_logo_squared,completions_per_game,attempts_per_game,passing_yards_per_game,passing_tds_per_game,interceptions_per_game,sacks_per_game,sack_yards_per_game,sack_fumbles_per_game,sack_fumbles_lost_per_game,passing_air_yards_per_game,passing_yards_after_catch_per_game,passing_first_downs_per_game,passing_epa_per_game,passing_2pt_conversions_per_game,pacr_per_game,dakota_per_game,carries_per_game,rushing_yards_per_game,rushing_tds_per_game,rushing_fumbles_per_game,rushing_fumbles_lost_per_game,rushing_first_downs_per_game,rushing_2pt_conversions_per_game,receptions_per_game,targets_per_game,receiving_yards_per_game,receiving_tds_per_game,receiving_fumbles_per_game,receiving_fumbles_lost_per_game,receiving_air_yards_per_game,receiving_yards_after_catch_per_game,receiving_first_downs_per_game,receiving_epa_per_game,receiving_2pt_conversions_per_game,racr_per_game,target_share_per_game,air_yards_share_per_game,wopr_x_per_game,special_teams_tds_per_game,fantasy_points_per_game,fantasy_points_ppr_per_game,tgt_sh_per_game,ay_sh_per_game,wopr_y_per_game,ry_sh_per_game,rtd_sh_per_game,rfd_sh_per_game,rtdfd_sh_per_game,dom_per_game,w8dom_per_game,yptmpa_per_game,ppr_sh_per_game,first_season,years_experience
00-0000098,2000.0,REG,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.7400032459991053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006129184347006129,passing,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.7400032459991053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006129184347006129,2000.0,0.0
00-0000104,1999.0,REG,258.0,430.0,2920.0,17.0,11.0,19.0,130.0,5.0,1.0,0.0,0.0,124.0,36.24471431536284,0.0,0.0,1.3262124201954089,21.0,10.0,1.0,2.0,0.0,3.0,-8.846873050992144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.8,167.8,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15533297539481236,passing,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,18.428571428571427,30.714285714285715,208.57142857142858,1.2142857142857142,0.7857142857142857,1.3571428571428572,9.285714285714286,0.35714285714285715,0.07142857142857142,0.0,0.0,8.857142857142858,2.58890816538306,0.0,0.0,0.09472945858538635,1.5,0.7142857142857143,0.07142857142857142,0.14285714285714285,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.985714285714286,11.985714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011095212528200882,1999.0,0.0
00-0000104,2000.0,REG,153.0,259.0,1616.0,7.0,14.0,13.0,91.0,2.0,2.0,0.0,0.0,81.0,-29.087923999476292,1.0,0.0,0.995403479607902,10.0,13.0,0.0,0.0,0.0,5.0,-2.1188681831699796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.940000000000005,63.940000000000005,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08772844520059273,passing,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,13.909090909090908,23.545454545454547,146.9090909090909,0.6363636363636364,1.2727272727272727,1.1818181818181819,8.272727272727273,0.18181818181818182,0.18181818181818182,0.0,0.0,7.363636363636363,-2.6443567272251176,0.09090909090909091,0.0,0.09049122541890019,0.9090909090909091,1.1818181818181819,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.812727272727273,5.812727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007975313200053884,1999.0,1.0
00-0000108,2006.0,REG,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,-0.7023373222327791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004401760704281712,passing,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,-0.7023373222327791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004401760704281712,2000.0,6.0
00-0000108,2011.0,REG,1.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,1.0,4.22313360706903,0.0,1.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5600000000000005,4.5600000000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047312720481427685,passing,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,1.0,4.22313360706903,0.0,1.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5600000000000005,4.5600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047312720481427685,2000.0,11.0
00-0000210,2002.0,REG,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2199583678739145,0.0,0.0,0.0,155.0,519.0,0.0,1.0,1.0,20.0,-35.27355111699415,0.0,47.0,57.0,302.0,0.0,0.0,0.0,0.0,0.0,11.0,-7.472204928325292,1.0,0.0,2.1152454880077234,0.0,0.0,0.0,86.30000000000001,133.3,16.0,0.12751677852348994,0.0,0.0,0.0,0.11456752655538695,0.0,0.09243697478991597,0.08461538461538462,0.057283763277693474,0.09165402124430956,0.6756152125279642,0.15522742622912641,passing,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0625,0.125,0.3125,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.07624739799211966,0.0,0.0,0.0,9.6875,32.4375,0.0,0.0625,0.0625,1.25,0.0,2.9375,3.5625,18.875,0.0,0.0,0.0,0.0,0.0,0.6875,-0.46701280802033074,0.0625,0.0,0.1322028430004827,0.0,0.0,0.0,5.393750000000001,8.33125,0.007969798657718121,0.0,0.0,0.007160470409711684,0.0,0.005777310924369748,0.005288461538461539,0.003580235204855842,0.0057283763277693476,0.04222595078299776,0.009701714139320401,1999.0,3.0
00-0000251,2000.0,REG,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6330820985604078,0.0,0.0,0.0,131.0,465.0,5.0,3.0,2.0,37.0,-15.668092831120035,0.0,12.0,18.0,92.0,0.0,0.0,0.0,0.0,0.0,3.0,0.05980331660248339,0.0,0.0,0.6667873166357148,0.0,0.0,0.0,81.7,93.7,13.0,0.047619047619047616,0.0,0.0,0.0,0.03792250618301731,0.0,0.024793388429752067,0.02158273381294964,0.018961253091508656,0.030338004946413852,0.24338624338624337,0.10107438729720401,passing,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20254477681233907,0.0,0.0,0.0,10.076923076923077,35.76923076923077,0.38461538461538464,0.23076923076923078,0.15384615384615385,2.8461538461538463,0.0,0.9230769230769231,1.3846153846153846,7.076923076923077,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.004600255123267953,0.0,0.0,0.051291332048901135,0.0,0.0,0.0,6.2846153846153845,7.207692307692308,0.003663003663003663,0.0,0.0,0.002917115860232101,0.0,0.0019071837253655437,0.0016602102933038186,0.0014585579301160505,0.002333692688185681,0.018722018722018723,0.0077749528690156935,1999.0,1.0
00-0000339,2002.0,REG,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38253058900590986,0.0,0.0,0.0,5.0,27.0,0.0,0.0,0.0,1.0,0.0910389208002016,0.0,45.0,56.0,257.0,1.0,0.0,0.0,0.0,0.0,9.0,-11.76045161665148,0.0,0.0,1.804529676695326,0.0,0.0,0.0,34.400000000000006,79.4,16.0,0.1154639175257732,0.0,0.0,0.0,0.07101409229068803,0.04,0.04736842105263158,0.046511627906976744,0.05550704614534402,0.06481127383255042,0.5298969072164949,0.06008505743647179,passing,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023908161812869366,0.0,0.0,0.0,0.3125,1.6875,0.0,0.0,0.0,0.0625,0.0,2.8125,3.5,16.0625,0.0625,0.0,0.0,0.0,0.0,0.5625,-0.7350282260407175,0.0,0.0,0.11278310479345788,0.0,0.0,0.0,2.1500000000000004,4.9625,0.007216494845360825,0.0,0.0,0.004438380768168002,0.0025,0.0029605263157894738,0.0029069767441860465,0.003469190384084001,0.004050704614534401,0.03311855670103093,0.0037553160897794867,1999.0,3.0
00-0000339,2003.0,REG,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40788865863578394,0.0,0.0,0.0,70.0,306.0,1.0,0.0,0.0,16.0,-1.1348265331762377,0.0,69.0,69.0,493.0,4.0,1.0,0.0,0.0,0.0,21.0,15.434272206423238,0.0,0.0,3.919092140220036,0.0,0.0,0.0,109.9,178.9,15.0,0.14435146443514643,0.0,0.0,0.0,0.1564582672167566,0.25,0.15217391304347827,0.16233766233766234,0.2032291336083783,0.1751666137734053,1.0313807531380754,0.16731510231566346,passing,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027192577242385597,0.0,0.0,0.0,4.666666666666667,20.4,0.06666666666666667,0.0,0.0,1.0666666666666667,0.0,4.6,4.6,32.86666666666667,0.26666666666666666,0.06666666666666667,0.0,0.0,0.0,1.4,1.0289514804282158,0.0,0.0,0.2612728093480024,0.0,0.0,0.0,7.326666666666667,11.926666666666668,0.009623430962343095,0.0,0.0,0.010430551147783773,0.016666666666666666,0.010144927536231885,0.010822510822510822,0.01354860890722522,0.011677774251560354,0.06875871687587169,0.011154340154377563,1999.0,4.0
00-0000339,2004.0,REG,1.0,1.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5796635741135105,0.0,0.0,0.0,57.0,246.0,1.0,1.0,1.0,11.0,-8.439677740680054,0.0,26.0,26.0,207.0,0.0,0.0,0.0,0.0,0.0,6.0,6.681823294619943,0.0,0.0,1.3649764560075852,0.0,0.0,0.0,54.34,80.34,11.0,0.07142857142857142,0.0,0.0,0.0,0.08026366808840636,0.0,0.05263157894736842,0.047244094488188976,0.04013183404420318,0.0642109344707251,0.5686813186813187,0.09942331015023637,passing,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.09090909090909091,0.09090909090909091,2.3636363636363638,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.3254239612830464,0.0,0.0,0.0,5.181818181818182,22.363636363636363,0.09090909090909091,0.09090909090909091,0.09090909090909091,1.0,0.0,2.3636363636363638,2.3636363636363638,18.818181818181817,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.6074384813290857,0.0,0.0,0.12408876872796229,0.0,0.0,0.0,4.94,7.303636363636364,0.006493506493506493,0.0,0.0,0.007296697098946033,0.0,0.004784688995215311,0.004294917680744453,0.0036483485494730166,0.005837357679156827,0.051698301698301696,0.00903848274093058,1999.0,5.0
