,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
season,0.011282267069752246,0.020256479497502946,0.022705900166152836,-0.024736414261261153,0.34131867515639014,-0.035455156429521135,-0.030370578125251648,-0.263116388669797,-0.04156142573954329,-0.07174437423409454,-0.07390903280983609,-0.013973695144556595,0.044130575618540606,0.19947081281090195,-0.20381908508169572,0.06320390973181213,0.037628149458252436,0.10710786630726019,0.044279024205289765,0.18952394089310692,0.19974560336445935,-0.12171069745010378,0.33819408672836826,-0.09497477487473382,-0.06957006975639184,0.01672820754021346,0.04397272261519243,-0.011726063793486247,-0.005987727330815091,-0.011958196218849268
completions,-0.12223317549125591,0.1440032980217124,0.05182260911281436,0.0038494976817742585,0.002719958691542791,-0.07057855708180291,0.013609684392800032,0.04569806746394077,-0.02056641172427753,0.016083533479965814,0.03597844913084583,0.011344963431876371,-0.01707656722719638,-0.04748713230873715,-0.0877804599203008,-0.011986102875172358,0.02355998954667368,0.0018885494831583807,0.013937810224512334,-0.08416150322747074,0.03222315402451031,-0.014586856735502222,0.011215292694226185,-0.04838922198873834,0.018830711859541348,0.012856460777452935,-0.004843229085821106,-0.012469626499984001,0.010731010475661216,-0.032005204756966596
attempts,-0.12298078123835184,0.14297331743335398,0.05168193674139444,0.0033246256173561986,0.00024768111234513285,-0.046691842624795615,0.014131277157148387,0.048714347323032314,-0.019651284168903646,0.01979197557816445,0.03956429090771096,0.013116583896996683,-0.019943778856769203,-0.055403467068815035,-0.09170957951872045,-0.009427731361039554,0.027609315629615067,0.004385085897401277,0.012149768534751129,-0.10350059338278968,0.03985462428508325,-0.018084693336710797,0.013130204824053056,-0.05177070189526453,0.020167623323326455,0.023799078886440176,-0.007926122978798337,-0.01929965431259744,0.018496420410668773,-0.046002513967745816
passing_yards,-0.12183066347586047,0.14462683945426813,0.05104590907056446,0.004582614069930771,0.0020717064351244373,-0.08462766565604768,0.013431170309967337,0.05120496585238166,-0.02341554218325259,0.017275226913655975,0.03987912950744242,0.012781184906243758,-0.01578132130147366,-0.05292534530623043,-0.08069681878651516,-0.0169593465391202,0.012053383291223876,0.015076120661924566,0.010942826544877418,-0.07385933290462515,0.030145615847545475,-0.014676395928893754,0.011627647985503175,-0.03899698960838748,0.014226993270786593,0.00486195510607355,0.004302639962041731,-0.008077052178474736,0.004071962289695107,-0.025812183228567653
passing_tds,-0.11566670504312648,0.14267541154274085,0.046720722945049566,0.006925674548764597,0.0037357140532269274,-0.14642304790375793,0.011470506965705398,0.05757856835026005,-0.029512959949652747,0.01458394251889352,0.041298143794026874,0.013073473985854449,-0.00946906638963865,-0.056339512036027474,-0.054765151925686095,-0.01833254499421599,-0.020121445680680288,0.03574639340980443,0.008749102477722065,-0.029880013164015763,0.024671251256718763,-0.015225092111991124,0.01686508333817956,-0.015128706874737795,0.00487890662765754,-0.04693921336296498,0.023974369109555773,0.0018152296252319355,-0.0246232413333901,0.00941675857792099
interceptions,-0.11704515018050615,0.12822803207859376,0.05090208430291665,-0.0008231047930014209,-0.010469038857953075,0.052463934193432704,0.01609218626515098,0.060443663749456186,-0.018952830160051528,0.028832035347133116,0.04393421373647651,0.016695652322630167,-0.031087954578474766,-0.07952213928347111,-0.09454035103098034,-0.006630200522528542,0.02129195348501527,0.008388498805643983,-0.008682815456094234,-0.21774550850184188,0.11732157648855851,-0.0275943904085267,0.031236686328795303,-0.01666399300076391,0.013601374629532438,-0.03316855912359415,0.04849748967124153,-0.09973845889033854,0.06077300495673999,-0.16777927087584915
sacks,-0.11976637824246751,0.13442280798904802,0.047447109392829104,0.0031094267811578144,-0.00037797842445250933,0.06025684455977304,0.01483991160639187,0.030915436237315734,0.0017304770022704124,0.03221492966353964,0.040867323462909465,0.015371988084399203,-0.0317064664026292,-0.07397829970098409,-0.1229869291436554,-0.004262403455840143,0.0783297362973052,0.020333797542301916,0.018512430499667432,-0.11029545307453358,0.010835062090393812,-0.047396443928947624,0.025815333845507084,-0.09787717842654026,-0.004356890303808849,0.25759345276790374,-0.013253410094061042,0.08050636182436836,0.039586074091899605,0.053126957634486736
sack_yards,-0.11938277324699062,0.13414028380703297,0.04905806474097189,0.0023496523429321777,0.0006064045705933094,0.060820311175097355,0.015064245880285954,0.025067337903523307,0.004026572439205223,0.029660564773866988,0.03518881058791424,0.013027548857953776,-0.03181089549978288,-0.06597798827521888,-0.1281732853246747,-0.008375246385718465,0.08225911319226333,0.011930279684400484,0.01545874169588614,-0.11310799870580356,0.014169894882411358,-0.040245195588104375,0.022831661774492737,-0.10492764919431212,0.0008156698626881502,0.2524366639943435,-0.022060109733311354,0.08279965201935999,0.04092901247394563,0.05710577992234326
sack_fumbles,-0.11194358755756532,0.1229223756384563,0.04938766581997209,-0.0002696139066857015,-0.008942712395055579,0.11577503796748347,0.020464331812487784,0.05143958781420462,0.004637556409747805,0.04768887757325186,0.07356526692400593,0.022287845495081275,-0.04995201196775995,-0.13603860267849138,-0.16112823726816508,-0.012998854064418836,-0.012417120105085729,0.006732775987530846,0.07872558463056871,0.14927230544934725,-0.06793916241493642,-0.004606858019675296,-0.0018061825514281901,-0.08987763988245087,0.024229453555333368,0.14212300370883993,-0.038493778054225034,-0.015147317676002725,0.04577944739181115,-0.07180442856173101
sack_fumbles_lost,-0.10136558092207713,0.11132469881352441,0.047463935673395435,-0.0017023672812748326,-0.009418838094550078,0.13874155566382387,0.02193293995508882,0.04518338201663963,0.014451591222220771,0.05159815544356945,0.07678594329137874,0.02249727046116309,-0.05952597588263376,-0.1563725523372413,-0.1938237000381839,-0.017871101299947102,-0.022291460322735733,-0.00776192218596205,0.10968916789963264,0.2800159800518362,-0.13440351963124636,0.023971014351609185,-0.03327952401842123,-0.12127073977460907,0.05744780462962986,0.11821552067108632,-0.0968336671728545,-0.03521913305967279,0.0521875530834806,-0.11891482711500957
